ID,outsider,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,b6,b7,b8,b9,recommend,future_recommend,lookfor,future_lookfor,trust,firstknow,knowyear,experience,times
184,0,8,8,9,8,9,8,7,6,6,9,8,9,9,8,9,8,8,8,1,10,9,10,10,2014,5,10,1
185,0,10,10,9,7,9,9,9,9,10,10,9,9,7,9,9,10,9,10,1,10,10,10,10,2015,4,10,2
186,0,7,7,7,5,5,9,7,6,5,7,7,7,5,4,9,9,5,5,1,10,6,8,10,2018,1,8.5,1
187,0,8,9,8,6,8,9,9,8,7,6,7,8,9,8,8,8,7,9,1,9,8,9,9,2014,5,10,5
188,0,9,8,6,8,8,7,8,8,8,6,6,8,9,8,7,8,8,8,1,8,7,8,8,2014,5,,
189,0,10,10,7,2,6,7,9,8,5,10,10,7,2,6,7,9,8,5,1,10,10,10,10,2015,4,10,2
190,0,10,10,5,0,8,10,5,5,5,3,3,8,8,5,8,8,2,2,1,7,3,7,6,2016,3,10,2
191,0,9,9,4,7,9,6,6,4,4,7,7,6,7,9,9,9,8,6,1,9,10,10,9,2014,5,6,3
192,0,10,10,3,0,10,1,10,4,4,10,10,0,0,10,1,10,5,5,1,10,10,10,10,2015,4,10,2
193,0,8,6,9,9,8,10,9,8,6,6,6,8,8,7,9,10,6,6,1,9,7,9,10,2015,4,10,3
194,0,10,10,8,8,9,8,10,8,5,8,10,10,10,10,8,10,5,5,1,10,8,9,9,2014,5,10,3
195,0,10,9,9,8,10,10,10,10,9,8,10,10,10,9,9,10,9,8,1,10,10,10,10,2015,4,8.5,2
196,0,8,8,9,9,8,8,8,8,8,9,9,9,9,8,8,9,8,9,1,10,7,7,10,2015,4,6,2
197,0,7,8,6,7,3,5,6,7,2,6,5,6,7,6,7,9,7,5,1,7,7,6,5,2016,3,3.5,2
198,0,9,8,8,9,7,7,8,7,6,7,7,8,9,9,9,9,7,7,1,9,7,8,9,2014,5,3.5,4
199,0,8,9,8,8,4,5,4,10,5,7,4,7,9,9,9,9,6,8,1,10,9,10,9,2016,3,2,3
200,0,8,8,9,8,7,9,9,7,7,7,8,8,9,9,8,8,9,8,1,8,9,10,10,2017,2,2,1
201,0,8,8,7,9,9,9,10,7,8,8,8,7,9,9,9,10,7,7,0,10,8,10,9,2014,5,2,1
202,0,9,9,7,7,9,9,8,8,9,9,9,7,7,7,9,9,8,8,1,10,8,10,9,2014,5,3.5,4
203,0,8,9,10,10,8,7,8,8,6,7,10,10,10,7,7,7,7,4,1,9,5,6,10,2015,4,8.5,1
204,0,10,10,8,8,6,7,10,8,8,10,10,5,5,5,5,10,5,5,0,10,1,5,9,2014,5,10,1
205,0,7,8,8,8,8,6,6,8,3,6,8,9,9,9,9,10,7,5,1,8,7,8,8,2014,5,6,2
206,0,9,9,6,6,7,9,8,8,8,8,8,8,7,8,8,8,9,8,1,8,8,8,8,2014,5,8.5,1
207,0,10,9,8,7,10,7,9,9,9,10,10,10,8,8,8,6,8,5,1,8,9,9,9,2014,5,10,4
208,0,7,7,6,6,6,8,8,6,6,5,5,7,6,8,9,10,5,5,1,10,10,9,10,2017,2,10,1
209,0,9,9,10,8,9,7,10,9,9,8,8,10,9,9,9,8,7,8,1,10,10,10,9,2014,5,10,3
210,0,6,6,4,3,8,8,8,10,2,5,6,6,3,9,9,9,9,2,1,10,10,10,9,2014,5,10,5
211,0,8,8,5,9,5,5,5,5,5,4,4,9,10,4,10,4,4,4,1,9,10,10,10,2017,2,3.5,3
